Var,Unit,Reg,Item,Macro,Year,Val
NUTR,kcal/cap/d,USA,SUNF,SSP2,2030,9.2
NUTR,kcal/cap/d,USA,SUNF,SSP2,2040,9.1
NUTR,kcal/cap/d,USA,SUNF,SSP2,2050,9.2
NUTR,kcal/cap/d,USA,SWPO,SSP2,2000,3.7
NUTR,kcal/cap/d,USA,SWPO,SSP2,2010,5.6
NUTR,kcal/cap/d,USA,SWPO,SSP2,2020,5.6
NUTR,kcal/cap/d,USA,SWPO,SSP2,2030,5.6
NUTR,kcal/cap/d,USA,SWPO,SSP2,2040,5.6
NUTR,kcal/cap/d,USA,SWPO,SSP2,2050,5.6
NUTR,kcal/cap/d,USA,WHEA,SSP2,2000,629
NUTR,kcal/cap/d,USA,WHEA,SSP2,2010,617.8
NUTR,kcal/cap/d,USA,WHEA,SSP2,2020,621.6
NUTR,kcal/cap/d,USA,WHEA,SSP2,2030,625.7
NUTR,kcal/cap/d,USA,WHEA,SSP2,2040,624.2
NUTR,kcal/cap/d,USA,WHEA,SSP2,2050,622.9
NUTR,kcal/cap/d,USA,BEAN,SSP2,2000,30
NUTR,kcal/cap/d,USA,BEAN,SSP2,2010,28.7
NUTR,kcal/cap/d,USA,BEAN,SSP2,2020,28.5
NUTR,kcal/cap/d,USA,BEAN,SSP2,2030,28.3
NUTR,kcal/cap/d,USA,BEAN,SSP2,2040,29
NUTR,kcal/cap/d,USA,BEAN,SSP2,2050,29.1
NUTR,kcal/cap/d,USA,BEER,SSP2,2000,102.7
NUTR,kcal/cap/d,USA,BEER,SSP2,2010,101.8
NUTR,kcal/cap/d,USA,BEER,SSP2,2020,102.7
NUTR,kcal/cap/d,USA,BEER,SSP2,2030,104.8
NUTR,kcal/cap/d,USA,BEER,SSP2,2040,105.7
NUTR,kcal/cap/d,USA,BEER,SSP2,2050,106.6
NUTR,kcal/cap/d,USA,COTO,SSP2,2000,17.7
NUTR,kcal/cap/d,USA,COTO,SSP2,2010,15.1
NUTR,kcal/cap/d,USA,COTO,SSP2,2020,15.6
NUTR,kcal/cap/d,USA,COTO,SSP2,2030,16.5
NUTR,kcal/cap/d,USA,COTO,SSP2,2040,17.3
NUTR,kcal/cap/d,USA,COTO,SSP2,2050,17.7
NUTR,kcal/cap/d,USA,GNUO,SSP2,2000,7.3
NUTR,kcal/cap/d,USA,GNUO,SSP2,2010,9.3
NUTR,kcal/cap/d,USA,GNUO,SSP2,2020,9.3
NUTR,kcal/cap/d,USA,GNUO,SSP2,2030,9.2
NUTR,kcal/cap/d,USA,GNUO,SSP2,2040,9.2
NUTR,kcal/cap/d,USA,GNUO,SSP2,2050,9.2
NUTR,kcal/cap/d,USA,CORO,SSP2,2000,30.3
NUTR,kcal/cap/d,USA,CORO,SSP2,2010,29.4
