,,,,,2000,2010,2020,2030,2040,2050
RCAM,Soya,SPA0,SSP2,scenRCPref,1105,1669,3045,4684,5934,6908
RCAM,Srgh,SPA0,SSP2,scenRCPref,217,344,686,1109,1422,1661
RCAM,SugC,SPA0,SSP2,scenRCPref,5107,7407,13566,21140,26792,31154
RCAM,Sunf,SPA0,SSP2,scenRCPref,41,71,273,540,742,901
RCAM,SwPo,SPA0,SSP2,scenRCPref,30,44,80,125,159,185
RCAM,Whea,SPA0,SSP2,scenRCPref,443,729,1345,2078,2624,3042
RCEU,Barl,SPA0,SSP2,scenRCPref,91,154,233,260,244,233
RCEU,BeaD,SPA0,SSP2,scenRCPref,6,20,21,20,23,26
RCEU,ChkP,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RCEU,Corn,SPA0,SSP2,scenRCPref,375,1812,3036,3379,3265,3222
RCEU,Cott,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RCEU,Mill,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RCEU,Pota,SPA0,SSP2,scenRCPref,188,587,1294,1544,1366,1212
RCEU,Rape,SPA0,SSP2,scenRCPref,2,4,6,6,6,5
RCEU,Rice,SPA0,SSP2,scenRCPref,1,2,2,2,2,3
RCEU,Soya,SPA0,SSP2,scenRCPref,6,6,6,6,6,6
RCEU,Srgh,SPA0,SSP2,scenRCPref,0,1,1,2,1,1
RCEU,SugC,SPA0,SSP2,scenRCPref,0,1,3,3,3,3
RCEU,Sunf,SPA0,SSP2,scenRCPref,146,236,359,400,375,354
RCEU,Whea,SPA0,SSP2,scenRCPref,197,542,1087,1277,1153,1051
