Var,Unit,Reg,Item,Macro,Year,Val
FOOD,1000 t,BRA,CASS,SSP2,2000,6546.199
PROD,1000 t,BRA,CASS,SSP2,2000,21840.113
OTHU,1000 t,BRA,CASS,SSP2,2000,4300.258
CONS,1000 t dm,BRA,CASS,SSP2,2000,4577.77
FEED,1000 t dm,BRA,CASS,SSP2,2000,2300.015
FOOD,1000 t dm,BRA,CASS,SSP2,2000,1374.702
PROD,1000 t dm,BRA,CASS,SSP2,2000,4586.424
OTHU,1000 t dm,BRA,CASS,SSP2,2000,903.054
CONS,1000 t,CAN,CASS,SSP2,2000,19.818
FEED,1000 t,CAN,CASS,SSP2,2000,1.87
FOOD,1000 t,CAN,CASS,SSP2,2000,3.66
OTHU,1000 t,CAN,CASS,SSP2,2000,14.288
CONS,1000 t dm,CAN,CASS,SSP2,2000,4.162
FEED,1000 t dm,CAN,CASS,SSP2,2000,0.393
FOOD,1000 t dm,CAN,CASS,SSP2,2000,0.769
OTHU,1000 t dm,CAN,CASS,SSP2,2000,3.001
CONS,1000 t,CHN,CASS,SSP2,2000,7117.741
FEED,1000 t,CHN,CASS,SSP2,2000,3470.736
FOOD,1000 t,CHN,CASS,SSP2,2000,1680.582
PROD,1000 t,CHN,CASS,SSP2,2000,3817.841
OTHU,1000 t,CHN,CASS,SSP2,2000,1966.424
CONS,1000 t dm,CHN,CASS,SSP2,2000,1494.726
